Id,Reputation
103987,706
2573392,412
8776508,46
398909,2462
435605,16436
2536611,3980
2269968,40
4042016,1634
226342,925
6341510,498
2685914,1974
2457444,657
2338858,1273
3858208,137
2378691,860
2598065,235
6436616,67
2510434,337
7698430,41
2645876,646
6319692,531
3815149,69
373749,303
377760,624
406014,1125
2529952,78
3786363,355
6408567,394
413225,17803
6304191,29
3884953,117
2335950,45
7726272,310
5091701,125
5238461,188
5246134,24
3810024,1319
2490003,2430
177800,40603
6290990,50
8735568,296
6480044,147
2456863,373
2511969,126
5191640,373
8940602,43
287948,4664
389939,772
235472,3889
14731,36214
2543494,15
3916987,34
3016293,84
7653269,70
441709,140
5655556,126
1483318,396
8490014,113
879963,804
9109814,70
7736899,121
5389930,71
3086341,221
1349515,67
8163150,54
1978843,488
611695,386
1028039,3240
9047325,39
834019,604
9066659,20
9265613,78
6794137,147
8159708,55
9488525,28
1124794,1633
3012133,267
7946535,354
6713951,345
1065358,1267
1322961,43
7892936,401
4192529,239
4193689,109
8213026,19
9402741,185
8291866,49
8315644,54
8044438,49
3123372,146
3037607,341
3056525,89
3175307,473
940293,361
5482966,1283
9246297,194
6784143,263
571857,168
9234092,64
6504152,397
5443928,1248
824275,6039
5319114,431
9191771,46
9444212,56
5738696,669
1860030,982
8672055,48
9158178,182
569128,417
996785,852
9165615,109
1180621,17043
5547718,804
639296,53
5767639,60
1724708,235
3574379,500
5323434,108
6740698,2326
5322741,238
2876079,2216
691660,2577
1184100,2855
838975,14036
888469,1706
729817,619
4357763,58
9374687,9
1383702,579
9486501,14
495033,815
706870,3520
1089362,156
9248706,28
8100895,268
1081322,492
5513562,491
6627292,104
9225425,45
3536036,408
2800623,302
6689583,731
1337007,304
960662,1230
1797006,2133
1315053,3276
5853948,108
1972442,426
8305774,135
8629278,73
903521,1219
9235314,32
8471235,20
7035151,1765
3415862,148
651980,184
2938485,29
1070300,565
7111525,28
1921204,945
6045202,34
1744034,335
3364181,57
4593476,170
8558715,83
4249758,57
2953666,561
9333764,900
9036415,89
4139097,80
829335,541
9293723,9
1310853,499
6535798,38
4681874,367
8630358,70
1429942,362
1471417,4685
5949678,384
3714670,379
1690272,99
5851464,93
8360561,162
7707499,30
1411104,2581
2225030,2627
6056258,194
2064833,317
4561925,788
1836044,1347
3507283,67
1461486,1173
3356655,748
4506350,125
7084601,52
9483383,19
4492375,73
6002424,79
3540200,146
7415247,365
1452068,568
1459065,512
4674941,137
9406271,40
3566441,351
7429823,444
1485926,5738
5747067,58
4774554,79
8004628,81
846053,328
5458344,600
5525895,53
5536507,87
3615619,82
1523743,238
1695258,661
1769172,310
5855850,520
7330592,566
3684132,1014
3719459,6533
6164795,431
2080535,93
7510517,76
1978321,83
2066895,1218
7379152,38
8674940,58
8587120,89
5692885,163
1896862,214
4957650,109
4930974,1099
9477873,33
1850081,129
7391207,80
7436993,51
7428622,722
8630678,35
5940636,156
8649637,40
8177560,23
1878451,28
9426799,5
1013380,10
6182097,9
9429658,23
9353668,5
4216953,10
9308890,20
7451245,9
6390016,69
2415708,125
9429907,61
9490869,5
9458197,15
3655257,15
3340459,33
9163400,5
9276435,12
4487891,10
8422242,10
6041229,51
9418439,10
8713653,12
7624583,30
8896053,22
9494009,4
9405661,46
3424134,10
2261878,14
6101465,12
7338888,38
5906305,23
4168141,15
4960656,71
2184294,5
1030489,34
3022518,15
9221814,23
1815930,133
8484580,33
6219793,42
7585450,24
3902270,17
2551368,598
9311959,15
9323524,28
6173694,61
9316761,33
2350659,30
9476385,14
3716155,51
7352833,60
6225519,7
4039026,17
7787162,32
4681265,103
3420738,83
9408582,19
8780913,38
9465060,9
5314134,60
9473135,20
5216541,388
8703567,57
9135994,24
3096781,47
4477053,10
3466912,75
2695058,28
6651080,60
6616640,76
7500213,32
1729567,46
1713286,128
7628668,1
3988738,1
4005064,1
8021318,1
9407305,1
8241831,1
9486784,1
9492223,1
9482937,1
9472880,1
9486983,1
9485286,1
9485855,1
9473235,1
9485041,1
9484320,1
9485146,1
9472324,1
9461598,1
9482642,1
9472289,1
8837522,1
9488373,1
5293522,1
9478533,1
8631566,1
8867756,1
6465564,1
9283149,1
5559072,1
9297724,1
8498891,1
9472632,1
9476579,1
9494298,1
9491854,1
8655029,1
4151480,1
9483217,1
4296766,1
6114161,1
9473372,1
9013747,1
972965,1
8510921,1
9475474,1
9494116,1
9419567,1
9485513,1
5541338,1
8815308,1
6517313,3
9479482,3
2771142,3
5652441,3
6645953,3
9490504,3
8186700,3
3387627,3
9481750,3
9478484,3
9492617,3
9483744,3
9448376,3
9383109,3
9451687,3
9479618,3
9477190,3
4764952,3
