Id,Reputation
1642018,1024
292291,21504
7220814,1
7554339,1
8632353,1
8662560,1
7907468,1
7365041,1
8062665,1
4807970,1
8661958,1
8659176,1
8455761,1
6304766,1
7805277,1
6650709,1
8645262,1
7238086,1
8319503,1
6149591,1
8616479,1
8653664,1
8659830,1
7704705,1
8410866,1
2550749,1
5733430,1
8402754,1
8659554,1
8658842,1
8660445,1
8660479,1
5378829,1
4833435,1
6905701,1
6289216,1
8659721,1
8661323,1
3751931,1281
6381081,2049
1570553,770
8661275,3
8209426,3
6916363,3
7418416,3
8538224,3
8576761,3
8662118,3
3712400,3
3287029,3
8660906,3
500729,7171
8659168,4
5687751,4
7965560,4
5280457,5
8662172,5
8532984,5
8659504,5
8520552,5
8662457,5
4541481,5
8582870,6
8659788,6
5793563,6
8471905,6
8661270,6
8659533,6
4878413,6
8661115,6
8658755,6
8659126,6
7849139,6
7619090,6
8023608,6
4023416,6
8547027,6
3331892,6
4593210,6
8291002,6
720139,518
2560685,774
7172065,7
8106845,7
8660142,7
8242652,8
8662223,8
8662158,8
8661649,8
6563805,8
5510620,8
8583389,9
8392152,9
7794841,9
5760686,9
15848,777
7217249,10
8367668,10
8616537,11
8660596,11
2227516,11
8622788,11
5557414,11
5340987,11
8661664,11
8659749,11
8588453,11
8576649,11
6493903,11
8659138,12
8528127,12
3287963,268
2890156,1292
8661752,13
1648188,13
8096897,13
7690616,13
7251795,13
8621921,13
8660489,13
6287968,13
4628629,13
8661465,13
8515569,13
3394319,13
5812238,525
1079379,525
3314466,14
7021190,14
8526280,14
6474426,14
8660280,526
4945535,4110
8659002,15
6646859,15
7049508,15
8509346,15
8592153,15
2145103,527
7080816,16
8370782,16
8660423,16
8660295,16
5655618,16
2953423,16
8315071,16
7874894,16
6623589,16
1625304,2832
8658911,17
8661266,17
754186,17
5468218,17
368691,27409
5050196,18
8253226,18
2861421,18
4648852,18
8660913,18
2741011,786
4149946,19
8662122,19
5521875,19
3973236,19
1790454,19
6411354,19
5826251,531
4860860,531
8659035,20
6336276,20
4130850,20
3740359,20
8126974,20
4667273,20
7071069,532
4175093,21
8584068,21
7158400,21
6713310,21
5961277,22
8511835,22
6366730,22
6684113,22
4814930,22
8439271,23
3150771,23
3210470,23
8588688,23
4070408,23
4937826,23
6891352,25
8661117,25
8659135,25
5906230,25
7777774,25
3795333,26
5768759,282
6237232,538
5992235,27
7830910,28
3504706,28
4957511,28
3016477,540
465558,4380
5616730,29
8643725,30
7795913,30
8196895,31
1986984,31
8436685,31
8538573,31
6179906,287
1505593,543
7985406,32
8661712,32
8593753,33
7858179,34
7065082,34
2151232,34
4256613,34
6101301,34
3767778,3106
5588348,35
1654661,35
8630678,35
7451836,35
4517917,35
7908216,35
5266230,36
7274523,36
7445772,37
8072559,37
8646839,37
4813946,38
8659630,38
917521,1062
6397895,39
2465650,39
3339274,1575
1606513,40
8090658,40
5214911,552
1275105,808
1850923,2600
8657477,41
8371487,41
5545315,1577
5963495,42
1144247,6186
6251915,43
5368361,43
7126513,43
8659376,44
6267843,45
5005251,46
7579606,47
8653569,47
7797798,1583
280244,87343
3798942,48
8638851,48
7198044,48
1811619,48
2759255,304
1767106,3888
1315565,4656
7730828,305
583271,817
6201058,50
8655206,51
3925261,51
5189271,307
689416,2099
8413499,52
2991013,52
6753111,52
5143570,54
7891339,54
4775738,566
8619627,56
6624804,313
1324802,2105
6463860,58
5383767,1594
5740299,59
8654971,60
6533278,60
6951419,60
1120821,60
5765283,316
2357813,61
3601294,62
8412845,62
7449045,318
4701655,63
4422106,63
3947426,63
4540183,7231
5911925,64
4239728,64
8580666,64
3701435,65
6686603,65
7610618,65
8199872,67
5023978,68
2033412,580
189418,2372
4177530,69
7040146,581
1473343,70
752843,24134
7739640,71
1743585,327
4474576,327
2394762,72
1033882,72
2555911,3912
390897,15432
8129422,75
4729284,332
2137242,77
183315,589
2567126,4429
5977754,78
3746699,78
8291684,1102
8435229,79
2744870,335
1804634,80
4589080,81
4108556,337
2104324,82
427227,83
4594063,339
1223975,14931
4714351,84
7940179,84
7964895,84
8551131,84
8101215,596
5705247,3412
4044552,85
8625760,341
6826372,342
8538776,342
8009343,87
6836871,344
4757174,89
3097481,89
8230668,89
184759,2138
2402135,91
707145,7259
5980207,92
8658841,93
616194,1117
7179399,606
125212,6494
6276653,95
2682403,95
6830030,97
4917859,97
7407133,98
5217682,98
3500169,100
4665624,101
3694594,101
181087,39525
4336593,102
4493674,358
8312881,103
4436572,360
2189266,361
3448377,106
8415116,106
4122175,106
4790396,106
1795832,618
6431558,107
6488128,364
4296426,620
7425593,620
3862378,3948
4198841,109
3215427,621
8662299,110
3124438,110
5454943,111
1068099,625
1969778,114
7321467,370
5748194,626
1189307,115
4474430,115
654187,9075
1011766,1652
7503621,118
2245648,119
4566794,375
1218167,631
4183921,121
6172868,122
51167,11386
6204637,379
3795597,891
1293328,124
2745421,124
6737470,381
3483197,381
7804238,126
8030848,126
2556237,127
788488,640
4679721,1920
3111255,4225
7252805,1666
5801127,387
1124269,1923
8415540,132
